TMDb ID,IMDb ID,Title,Year,Public Avg Rating
788,tt0107614,Mrs. Doubtfire,1993,7.19
103731,tt1935179,Mud,2012,7.1
1018,tt0166924,Mulholland Drive,2001,7.808
8392,tt0096283,My Neighbor Totoro,1988,8.069
322,tt0327056,Mystic River,2003,7.744
8193,tt0374900,Napoleon Dynamite,2004,6.78
242582,tt2872718,Nightcrawler,2014,7.704
597208,tt7740496,Nightmare Alley,2021,6.975
6977,tt0477348,No Country for Old Men,2007,7.947
649409,tt11525644,No Sudden Move,2021,6.4
340666,tt4550098,Nocturnal Animals,2016,7.4
581734,tt9770150,Nomadland,2020,7.2
762504,tt10954984,Nope,2022,6.8
213,tt0053125,North by Northwest,1959,8.0
426063,tt5040012,Nosferatu,2024,6.717
134,tt0190590,"O Brother, Where Art Thou?",2000,7.318
670,tt0364569,Oldboy,2003,8.25
339380,tt4669788,On the Basis of Sex,2018,7.379
311,tt0087843,Once Upon a Time in America,1984,8.4
466272,tt7131622,Once Upon a Time... in Hollywood,2019,7.428
510,tt0073486,One Flew Over the Cuckoo's Nest,1975,8.413
9357,tt0265459,One Hour Photo,2002,6.7
872585,tt15398776,Oppenheimer,2023,8.057
1417,tt0457430,Pan's Labyrinth,2006,7.752
496243,tt6751668,Parasite,2019,8.499
655,tt0087884,"Paris, Texas",1984,8.1
666277,tt13238346,Past Lives,2023,7.743
975,tt0050825,Paths of Glory,1957,8.3
949423,tt18925334,Pearl,2022,7.246
797,tt0060827,Persona,1966,8.153
400617,tt5776858,Phantom Thread,2017,7.314
11020,tt0073540,Picnic at Hanging Rock,1975,7.201
635731,tt11003218,Pig,2021,6.7
609,tt0084516,Poltergeist,1982,7.1
792307,tt14230458,Poor Things,2023,7.685
531428,tt8613070,Portrait of a Lady on Fire,2019,8.1
6435,tt0120791,Practical Magic,1998,6.787
128,tt0119698,Princess Mononoke,1997,8.328
146233,tt1392214,Prisoners,2013,8.099
539,tt0054215,Psycho,1960,8.422
680,tt0110912,Pulp Fiction,1994,8.489
8051,tt0272338,Punch-Drunk Love,2002,7.1
1578,tt0081398,Raging Bull,1980,7.9
11645,tt0089881,Ran,1985,8.1
44896,tt1192628,Rango,2011,6.873
1677,tt0350258,Ray,2004,7.5
567,tt0047396,Rear Window,1954,8.352
23169,tt1403981,Remember Me,2010,7.116
641,tt0180093,Requiem for a Dream,2000,8.014
500,tt0105236,Reservoir Dogs,1992,8.12
264644,tt3170832,Room,2015,8.003
